date,n_sick,calls,temp,drivers_predicted,month,year,n_sick_monthly,calls_monthly
2018-06-15,85,8994.0,19.2,1799.184773198824,6,2018,,
2018-06-16,82,8196.0,22.3,1639.5855719767935,6,2018,,
2018-06-17,89,7488.0,21.3,1497.9862806670224,6,2018,,
2018-06-18,86,8382.0,19.3,1676.7853857954626,6,2018,,
2018-06-19,85,10452.0,20.6,2090.7833137774205,6,2018,,
2018-06-20,90,9060.0,22.0,1812.3847071344805,6,2018,,
2018-06-21,90,7902.0,17.0,1580.7858662634144,6,2018,,
2018-06-22,91,7356.0,13.9,1471.5864127957088,6,2018,,
2018-06-23,86,9600.0,13.6,1920.3841666080348,6,2018,,
2018-06-24,86,8148.0,13.1,1629.9856200235888,6,2018,,
2018-06-25,100,10122.0,15.7,2024.7836440991373,6,2018,,
2018-06-26,85,9948.0,16.6,1989.98381826877,6,2018,,
2018-06-27,86,8070.0,19.6,1614.3856980996306,6,2018,,
2018-06-28,82,9588.0,21.9,1917.9841786197335,6,2018,,
2018-06-29,89,9510.0,21.7,1902.384256695776,6,2018,,
2018-06-30,90,7692.0,17.1,1538.786076468143,6,2018,,
2018-07-01,81,9240.0,16.8,1848.3845269589983,7,2018,73.87096774193549,8902.258064516129
2018-07-02,80,10416.0,17.6,2083.583349812517,7,2018,,
2018-07-03,70,8694.0,20.7,1739.1850734912937,7,2018,,
2018-07-04,60,8844.0,23.8,1769.184923345059,7,2018,,
2018-07-05,63,8544.0,24.0,1709.1852236375287,7,2018,,
2018-07-06,71,9462.0,18.7,1892.784304742571,7,2018,,
2018-07-07,72,9420.0,18.8,1884.3843467835168,7,2018,,
2018-07-08,78,8418.0,20.0,1683.9853497603658,7,2018,,
2018-07-09,83,9336.0,19.1,1867.584430865408,7,2018,,
2018-07-10,78,9768.0,16.8,1953.983998444252,7,2018,,
2018-07-11,84,9348.0,17.5,1869.984418853709,7,2018,,
2018-07-12,80,10572.0,17.3,2114.7831936604325,7,2018,,
2018-07-13,66,9300.0,19.3,1860.3844669005048,7,2018,,
2018-07-14,66,10050.0,18.4,2010.3837161693302,7,2018,,
2018-07-15,73,8742.0,19.2,1748.7850254444986,7,2018,,
